# ipa	spelling	example	words   built by gen/build_dictionary.py
# Grapheme pairs: two adjacent graphemes a recording can join in one
# breath. Example words are gated - see dictionary.good_example.
əl	le	able	2657
juː	u	use	1747
ks	x	box	1586
ŋk	nk	link	1233
eɪʃ	ati	station	1212
ɛɹ	ar	area	1168
kw	qu	quote	927
ʃə	tio	mission	832
jə	u	million	731
ɪŋ	ing	during	705
ŋɡ	ng	english	699
sɪ	ci	city	628
ɔːɹ	or	origin	461
dʒə	ge	pages	450
sɛ	ce	cells	449
ʊɹ	ur	tours	424
ɪdʒ	age	bridge	376
eɪt	at	associated	370
ns	nc	council	363
dʒɪ	gi	magic	353
siː	ci	policy	347
dʒɛ	ge	general	347
dʒiː	gy	gene	336
ʊd	ood	goods	334
əm	m	tourism	325
sə	ci	prices	291
ɪʃ	iti	edition	289
ʊk	ook	books	272
tʃɜː	ture	future	252
saɪ	ci	society	208
ɜːz	rs	centers	196
ɔːf	ow	often	168
jʊ	u	secure	159
ɡz	x	example	144
ʒə	sio	version	141
ɔɪn	oin	point	139
jɜː	ur	failure	133
nuː	new	new	114
tʃuː	tu	virtual	113
st	ced	placed	110
fʊ	fu	full	105
ɪz	s	business	100
ən	n	often	96
lɜː	lar	popular	95
sɜː	cir	accessories	94
ɹeɪ	ra	racing	90
ɔɪl	oil	oil	90
wʊ	wo	woman	89
ɛʃ	ssi	session	82
jɛ	ye	yes	77
ɛdʒ	edge	edge	76
ʌdʒ	udg	budget	72
ʊʃ	ush	bush	71
uːz	ews	news	68
uːʃ	uti	solutions	55
faɪ	fie	specified	54
baɪ	bi	bible	51
ɹs	rc	sources	49
nj	nio	union	48
duː	du	produced	41
wɔː	wal	walk	40
pɜː	par	corporation	39
stʃ	sti	questions	37
mɪ	mis	mission	33
ədʒ	og	technologies	32
ɜːɪ	ori	original	30
aɪv	iv	privacy	27
fɜː	for	information	26
eɪl	ale	failure	24
hæ	hal	half	24
wə	ua	language	23
ɛn	n	many	21
tʃeɪ	cha	changes	13
kə	com	commission	11
eɪb	abe	babe	0
eɪs	ace	face	0
eɪd	ade	made	0
eɪf	afe	safe	0
eɪdʒ	age	page	0
eɪk	ake	cake	0
eɪm	ame	name	0
eɪn	ane	plane	0
eɪp	ape	tape	0
eɪz	aze	maze	0
iːb	ebe	Beebe	0
iːs	ece	niece	0
iːd	ede	Swede	0
iːf	efe	beef	0
iːdʒ	ege	siege	0
iːk	eke	week	0
iːl	ele	eel	0
iːm	eme	theme	0
iːn	ene	gene	0
iːp	epe	deep	0
iːt	ete	Pete	0
iːz	eze	sneeze	0
aɪb	ibe	tribe	0
aɪs	ice	nice	0
aɪd	ide	ride	0
aɪf	ife	life	0
aɪdʒ	ige	oblige	0
aɪk	ike	like	0
aɪl	ile	smile	0
aɪm	ime	time	0
aɪn	ine	nine	0
aɪp	ipe	pipe	0
aɪt	ite	kite	0
aɪz	ize	prize	0
əʊb	obe	robe	0
əʊs	oce	dose	0
əʊd	ode	rode	0
əʊf	ofe	loaf	0
əʊdʒ	oge	doge	0
əʊk	oke	joke	0
əʊl	ole	hole	0
əʊm	ome	home	0
əʊn	one	bone	0
əʊp	ope	hope	0
əʊt	ote	note	0
əʊz	oze	doze	0
uːb	ube	tube	0
uːs	uce	spruce	0
uːd	ude	rude	0
uːf	ufe	roof	0
uːdʒ	uge	huge	0
uːk	uke	duke	0
uːl	ule	rule	0
uːm	ume	zoom	0
uːn	une	June	0
uːp	upe	soup	0
uːt	ute	flute	0
