# word  syl-la-ble-split   built by gen/build_dictionary.py
# from en_US hyphenation patterns (pyphen). Break points, which are
# conservative: a missing break is safer than a wrong one.
aachener aach-en-er
aaker aak-er
aancor aan-cor
aardema aarde-ma
aardvark aard-vark
aardvarks aard-varks
aaronson aaron-son
aarti aar-ti
ababa aba-ba
abaco aba-co
abacus aba-cus
abadaka abada-ka
abadi aba-di
abalos aba-los
abandon aban-don
abandoned aban-doned
abandoning aban-don-ing
abandonment aban-don-ment
abandonments aban-don-ments
abandons aban-dons
abanto aban-to
abarca abar-ca
abascal abas-cal
abasia aba-sia
abated abat-ed
abatement abate-ment
abatements abate-ments
abating abat-ing
abattoir abat-toir
abba ab-ba
abbado ab-ba-do
abbas ab-bas
abbasi ab-basi
abbate ab-bate
abbatiello ab-batiel-lo
abbenhaus abben-haus
abbett ab-bett
abbie ab-bie
abbitt ab-bitt
abbot ab-bot
abbotstown ab-bot-stown
abbott ab-bott
abbottstown ab-bottstown
abboud ab-boud
abbreviate ab-bre-vi-ate
abbreviated ab-bre-vi-at-ed
abbreviates ab-bre-vi-ates
abbreviating ab-bre-vi-at-ing
abbreviation ab-bre-vi-a-tion
abbreviations ab-bre-vi-a-tions
abbruzzese ab-bruzzese
abby ab-by
abco ab-co
abcotek ab-cotek
abdalla ab-dal-la
abdallah ab-dal-lah
abdel ab-del
abdella ab-del-la
abdicate ab-di-cate
abdicated ab-di-cat-ed
abdicates ab-di-cates
abdicating ab-di-cat-ing
abdication ab-di-ca-tion
abdnor abd-nor
abdo ab-do
abdollah ab-dol-lah
abdomen ab-domen
abdominal ab-dom-i-nal
abducted ab-duct-ed
abductee ab-ductee
abductees ab-ductees
abducting ab-duct-ing
abduction ab-duc-tion
abductions ab-duc-tions
abductor ab-duc-tor
abductors ab-duc-tors
abdul ab-dul
abdulaziz ab-du-laz-iz
abdulla ab-dul-la
abdullah ab-dul-lah
abedi abe-di
abella abel-la
abelow abe-low
abelson abel-son
abendroth aben-droth
abercrombie aber-crom-bie
aberdeen ab-erdeen
aberford aber-ford
aberle aber-le
abermin aber-min
abernathy aber-nathy
abernethy aber-nethy
aberrant aber-rant
aberration aber-ra-tion
aberrational aber-ra-tional
aberrations aber-ra-tions
abetted abet-ted
abetting abet-ting
abeyta abey-ta
abhor ab-hor
abhorred ab-horred
abhorrence ab-hor-rence
abhorrent ab-hor-rent
abhors ab-hors
abiam abi-am
abided abid-ed
abiding abid-ing
abidjan abid-jan
abigail abi-gail
abila abi-la
abilene abi-lene
abilities abil-i-ties
ability abil-i-ty
abimael abi-mael
abimaels abi-maels
abingdon abing-don
abington abing-ton
abiola abi-o-la
abitz ab-itz
abject ab-ject
abkhazia abk-hazia
abkhazian abk-hazian
abkhazians abk-hazians
ablate ab-late
ablation ab-la-tion
ablution ablu-tion
ablutions ablu-tions
abnegation ab-ne-ga-tion
abner ab-n-er
abney ab-ney
abnormal ab-nor-mal
abnormalities ab-nor-mal-i-ties
abnormality ab-nor-mal-i-ty
abnormally ab-nor-mal-ly
abohalima abo-hal-i-ma
abolish abol-ish
abolished abol-ished
abolishes abol-ish-es
abolishing abol-ish-ing
abolition abo-li-tion
abolitionism abo-li-tion-ism
abolitionist abo-li-tion-ist
abolitionists abo-li-tion-ists
abominable abom-inable
abomination abom-i-na-tion
abominations abom-i-na-tions
aboodi aboo-di
aboriginal abo-rig-i-nal
aborigine abo-rig-ine
aborigines abo-rig-ines
aborted abort-ed
abortifacient abor-ti-fa-cient
abortifacients abor-ti-fa-cients
aborting abort-ing
abortion abor-tion
abortionist abor-tion-ist
abortionists abor-tion-ists
abortions abor-tions
abouhalima abouhal-i-ma
abounded abound-ed
abounding abound-ing
aboveboard above-board
abplanalp ab-planalp
abracadabra abra-cadabra
abraded abrad-ed
abraham abra-ham
abrahamian abra-hami-an
abrahams abra-hams
abrahamsen abra-ham-sen
abrahamson abra-ham-son
abramczyk abram-czyk
abramowicz abramow-icz
abramson abram-son
abrasion abra-sion
abrasions abra-sions
abrasive abra-sive
abrasives abra-sives
abridgement abridge-ment
abridging abridg-ing
abrogate ab-ro-gate
abrogated ab-ro-gat-ed
abrogating ab-ro-gat-ing
abrogation ab-ro-ga-tion
abruptly abrupt-ly
abruptness abrupt-ness
abrutyn abru-tyn
abruzzo abruz-zo
absalom ab-sa-lom
absaraka ab-sara-ka
abscam ab-scam
abscess ab-scess
abscond ab-scond
absconded ab-scond-ed
absconding ab-scond-ing
absconds ab-sconds
absecon ab-sec-on
absence ab-sence
absences ab-sences
absent ab-sent
absentee ab-sen-tee
absenteeism ab-sen-teeism
